Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Reasons for the Emission of carbon Footprints,Solutions to take to combat the climate change
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19850,20690,10900,5040,2740,3510,2580,3340,3470,3110,3560,3600,3119.99988555908,3500,3759.99999046326,4460.00003814697,4489.99977111816,5199.99980926514,5690.00005722046,4510.00022888184,4340.00015258789,4940.00005722046,5719.99979019165,5500,5480.00001907349,5340.00015258789,5070.00017166138,5369.99988555908,5710.00003814697,6170.00007629395,5.82,"Carbon dioxide emissions from “Araratcement” and “Hrazdan Cement”,."," development of electrical transport, urban development (buildings and construction), IP (construction materials and chemical production), waste management, and afforestation, forest protection, and carbon storage in soil"
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36," the burning of fossil fuels for energy production, and industrial production of materials such as cement","Enhance quality of life
• Promote healthy environment
• Promote environmental stewardship
• Support economic vitality
• Emphasize alternative energy resources"
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,36.67,47.671,102.676,84.341,91.675,150.347,348.365,564.718,990.09,1257.781,462.042,425.372,374.034,330.03,429.039,707.731,403.37,465.709,491.378,407.037,143.013,106.343,293.36,84.341,146.68,249.356,249.356,275.025,286.026,286.026,210,220,290,250,250,270,280,290,320,330,330,350,389.999985694885,409.999996423721,400.000005960464,409.999996423721,439.999997615814,460.00000834465,479.999989271164,1389.99998569489,490.000009536743,540.000021457672,699.999988079071,469.999998807907,479.999989271164,490.000009536743,500,500,509.999990463257,519.999980926514,0.46,"dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement.","Enhance the established enabling legal, policy and institutional environment for a low carbon emission development pathway to achieve poverty"
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,88202.351,90589.568,94912.961,101029.517,108979.573,120966.996,120332.605,129265.417,134622.904,142257.598,147618.752,152774.554,157486.649,170992.21,172356.334,175883.988,174244.839,187787.07,202015.03,205069.641,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,263630,264760,268400,273050,280180,290180,300810,307850,328620,333710,339450,345640,353369.995117188,352579.986572266,365809.997558594,370089.996337891,375489.990234375,385750,388940.002441406,395290.008544922,387540.008544922,386380.004882813,386970.001220703,380279.998779297,371630.004882813,377799.987792969,384989.990234375,389160.003662109,387070.007324219,386529.998779297,15.22,"Energy production is the largest contributor to Australia's carbon emissions. This is followed by transport, agriculture, and industrial processes. Specifically: energy (burning fossil fuels to produce electricity)","These large-scale tree planting projects also produce additional benefits for the environment and local communities, including the restoration of wildlife habitat for threatened species, providing shade and shelter for farm animals and crops, and generating alternative income streams for farmers"
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,30821.135,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.396,50692.608,52155.741,56193.108,60164.469,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,58270,62420,57660,57800,58280,61180,64900,64220,64670,63050,63530,67910,69370.002746582,74459.9990844727,75800.0030517578,76239.9978637695,74099.9984741211,71239.9978637695,70730.0033569336,64419.9981689453,69959.9990844727,68269.9966430664,65110.0006103516,65750,62049.9992370605,63240.0016784668,63680.0003051758,65860.0006103516,63060.001373291,64769.9966430664,63.69,"produced by the burning of fossil fuels, industrial production, and land use change","Gradual reduction of fossil fuels
? Promotion of renewable energy sources
? Energy efficiency as savings potential in buildings
? Climate-neutral mobility
? Modal shift
? Reduced air traffic
? Traffic avoidance
"
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53480,52060,63610,48050,33520,32470,27190,26490,26490,26120,27690,26400,26180.0003051758,28569.9996948242,28309.9994659424,30040.0009155273,30489.9997711182,27629.9991607666,30450.0007629395,25500,24309.9994659424,27280.0006866455,30110.0006103516,30940.0005340576,32240.0016784668,31770.0004577637,32240.0016784668,31959.9990844727,32729.9995422363,35509.9983215332,33.89,"burning of fossil fuels, industrial production, and land use change.","Diversify the domestic energy mix to gradually reduce oil and gas dependence.
Institute further structural energy reforms in a phased manner to develop competitive markets based on prices that reflect the full energy supply cost, and to ensure transparent and non-discriminatory grid access; support reforms by measures that guarantee the energy regulator’s independence and capacity, and aid the most vulnerable citizens.
Take steps to increase the efficiency of energy supply and use, and incorporate energy and climate considerations into long-term urban development and transport plans to limit energy demand growth"
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,44.004,47.671,47.671,36.67,47.671,47.671,55.005,73.34,62.339,73.34,73.34,73.34,91.675,77.007,88.008,99.009,102.676,110.01,146.68,157.681,157.681,205.352,220.02,231.021,234.688,249.356,227.354,267.691,170,220,180,190,190,200,210,210,220,230,260,200,209.999993443489,159.999996423721,150.000005960464,150.000005960464,180.000007152557,180.000007152557,180.000007152557,180.000007152557,300.000011920929,360.000014305115,370.000004768372,389.999985694885,379.999995231628,400.000005960464,439.999997615814,529.999971389771,689.999997615814,720.000028610229,0.29," produced by the burning of fossil fuels, industrial production, and land use change","reduce emissions from deforestation and forest degradation, including the Forest Carbon Partnership Facility."
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,91000.272,92793.435,98117.919,105781.949,103662.423,105440.918,105206.23,107472.436,118557.777,123618.237,125620.419,121528.047,130834.893,138872.957,135220.625,122100.099,130009.818,126570.172,135855.016,140233.414,135301.299,124021.607,117553.019,101630.905,105422.583,104472.83,102874.018,103116.04,100354.789,107461.435,109310,113960,112330,110110,114900,114570,119450,116630,119410,115510,117270,118340,110849.998474121,115500,114019.996643066,110610.000610352,108650.001525879,104589.996337891,106930.000305176,99669.9981689453,106720.001220703,96480.0033569336,95269.9966430664,96589.9963378906,90139.9993896484,95129.997253418,94220.0012207031,92720.0012207031,93660.0036621094,93010.0021362305,7.24,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials","arge energy intensive corporates have a leading role in significantly reducing emissions, through energy efficiency programs and/or by procuring renewable energy."
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,161.348,128.345,135.679,121.011,143.013,150.347,113.677,143.013,154.014,201.685,282.359,293.36,388.702,381.368,407.037,443.707,260.357,297.027,363.033,366.7,517.047,429.039,491.378,454.708,502.379,744.401,685.729,539.049,553.717,630.724,330,270,280,290,280,300,970,1240,1210,1340,1420,1740,2180.0000667572,2440.00005722046,2650.00009536743,2900.00009536743,3470.00002861023,4000,4019.99998092651,4420.00007629395,4829.99992370605,4650.00009536743,4440.00005722046,4679.99982833862,5190.00005722046,5510.00022888184,6739.99977111816,6869.99988555908,7420.00007629395,7300.00019073486,7.35,electricity and heat production,The Solar Market Garden project has replaced diesel generators with solar pumps
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,44.004,91.675,84.341,88.008,110.01,102.676,102.676,102.676,102.676,121.011,143.013,150.347,161.348,168.682,205.352,220.02,209.019,249.356,348.365,407.037,432.706,557.384,575.719,594.054,465.709,476.71,480.377,517.047,553.717,821.408,500,510,520,530,540,570,630,690,760,890,940,970,959.999978542328,1039.99996185303,1059.99994277954,1059.99994277954,1240.00000953674,1409.9999666214,1700.00004768372,1730.00001907349,2289.99996185303,2460.00003814697,2940.00005722046,3130.00011444092,3180.0000667572,3700.00004768372,3700.00004768372,4269.99998092651,4670.00007629395,5000,3.25,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement",to reduce carbon di oxide (CO 2)using sustainable energy sources is a common practice to mitigate the impacts of climate
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,14154.62,14656.999,16105.464,18514.683,19035.397,19974.149,20326.181,21572.961,24737.582,23993.181,24337.879,23076.431,3509.319,4554.414,4660.757,4869.776,5570.173,5812.195,6017.547,6648.271,7638.361,7931.721,8599.115,8236.082,9123.496,10234.597,11463.042,11862.745,13545.898,13454.223,11520,10830,11820,12570,13540,16550,16830,18970,19250,20110,21650,25780,27430.0003051758,28629.9991607666,30530.0006866455,32709.9990844727,35900.0015258789,37990.0016784668,41580.0018310547,44750,50580.0018310547,54419.9981689453,57990.0016784668,60599.9984741211,63830.0018310547,72190.0024414063,74379.997253418,79339.9963378906,83449.9969482422,90739.9978637695,108.5," textile, leather, fertilizer, and brick production to also be major sources of carbon dioxide from industry and road transport","The minister said Bangladesh will increase renewable energy projects, use improved technology for power generation, use less emission-based transport systems, use solar energy in agriculture, reduce traditional brick kilns, reduce emission from rice fields, fertiliser use, deforestation reduction and will improve"
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,22295.36,25973.361,30736.794,34411.128,42863.563,46317.877,48767.433,55166.348,59526.411,66376.367,61238.9,64300.845,66171.015,68825.923,71260.811,73061.308,73116.313,75969.239,81411.067,79152.195,77487.377,80343.97,90131.193,90365.881,87366.275,89540.806,91528.32,91634.663,87289.268,86739.218,73610,58830,55360,55930,53720,54880,55300,52990,50480,44320,43420,46190,43599.9984741211,47930.0003051758,47270.0004577637,47990.0016784668,48950.0007629395,52599.9984741211,50040.0009155273,42909.9998474121,44740.0016784668,49639.9993896484,45020.0004577637,39659.9998474121,42049.9992370605,44560.001373291,41590.0001525879,43880.0010681152,40900.0015258789,39139.9993896484,38.01,"the burning of fossil fuels for energy production, and industrial production of materials such as cement","You can always offset them by purchasing TerGo packages, each of which is created by planting trees to absorb and store, support local farmers while funding the restoration of biodiversity in one of the most naturally beautiful countries in the world"
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,575.719,1771.161,1591.478,1195.442,1598.812,1228.445,649.059,1004.758,1103.767,1272.449,2592.569,3039.943,3681.668,5522.502,5405.158,5753.523,6574.931,7469.679,7766.706,8133.406,7887.717,8525.775,9838.561,8228.748,9207.837,10194.26,11012.001,11430.039,12163.439,11738.067,10740,10350,12270,13070,13370,13540,14150,14420,15490,15450,15880,16390,17219.9993133545,17940.0005340576,17930.0003051758,20690.0005340576,22489.9997711182,23000,24760.0002288818,24719.9993133545,25969.9993133545,26020.0004577637,27170.0000762939,28850.0003814697,30280.0006866455,30579.9999237061,30299.9992370605,30520.0004577637,30809.9994659424,33259.9983215332,36.67," CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials",will adopt a circular carbon economy strengthened by various offsetting schemes including carbon-capture technology and afforestation.
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,410.704,546.383,726.066,707.731,1085.432,1316.453,1092.766,1705.155,1631.815,1745.492,2574.234,6732.612,6490.59,7873.049,7389.005,8254.417,6464.921,9717.55,6607.934,6930.63,7990.393,2801.588,2262.539,2016.85,1855.502,1510.804,1411.795,1422.796,1540.14,1947.177,1960,2040,2570,2090,2070,2200,2070,1870,2360,2320,2230,2220,2400.00009536743,2380.00011444092,2250,2109.99989509583,2099.99990463257,2119.99988555908,2200.00004768372,6170.00007629395,2079.99992370605,2569.9999332428,3549.99995231628,2809.99994277954,2519.99998092651,2210.00003814697,2039.99996185303,2170.00007629395,2799.99995231628,2839.99991416931,1.89,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement","In the Bahamas, there have been proposals to ban the use of plastic bags and styrofoam by the year 2020 which would decrease the demand for plastic bags and in turn reduce the amount of fuel utilized to make them."
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23970,21440,15970,13400,3160,3370,4190,8490,10760,10520,13960,13760,14560.0004196167,14869.9998855591,15569.9996948242,16229.9995422363,17909.9998474121,18889.9993896484,20760.0002288818,20590.0001525879,20840.0001525879,23739.9997711182,21959.9990844727,21850.0003814697,19489.9997711182,19620.0008392334,22340.0001525879,22680.0003051758,22600.0003814697,21069.9996948242,23.43," dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement","The only practical way to cut anthropogenic CO2 emissions from thermal power plants is to replace fossil fuels with renewable energy sources.
"
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99830,96220,87990,76420,64810,57640,58650,59170,57260,54950,52940,51880,51840.0001525879,52700.0007629395,56040.0009155273,56779.9987792969,59119.9989318848,57650.0015258789,60529.9987792969,57400.0015258789,61669.9981689453,58549.9992370605,59939.998626709,59990.0016784668,59500,54819.9996948242,55139.9993896484,56009.9983215332,58950.0007629395,57669.9981689453,58.97,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials","The decree confirms and updates the rules for carbon pricing through a voluntary GHG emissions reduction scheme under the UNFCCC and Kyoto Protocol, ...
"
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,44.004,36.67,69.673,62.339,84.341,84.341,80.674,121.011,102.676,135.679,121.011,143.013,157.681,146.68,154.014,176.016,176.016,198.018,216.353,209.019,190.684,183.35,172.349,172.349,172.349,190.684,205.352,227.354,249.356,300.694,330,430,500,470,450,460,360,460,450,410,450,530,519.999980926514,509.999990463257,439.999997615814,469.999998807907,509.999990463257,529.999971389771,500,1460.00003814697,560.000002384186,670.000016689301,670.000016689301,460.00000834465,479.999989271164,680.000007152557,649.999976158142,639.999985694885,629.999995231628,639.999985694885,0.4, CO? emissionsfrom fossil fuels and cement production only,"Reduced deforestation, increased resilience of human communities, and sustainable forest management. Watershed protection for water and food security"
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,157.681,176.016,157.681,150.347,201.685,179.683,201.685,212.686,223.687,198.018,227.354,231.021,253.023,425.372,443.707,458.375,469.376,454.708,425.372,462.042,436.373,388.702,396.036,451.041,443.707,451.041,421.705,572.052,645.392,781.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement", (1) the electrification of vehicles beginning with Government vehicles and public transportation and (2) the banning of 2-stroke motorcycles.
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,1004.758,1041.428,1100.1,1213.777,1481.468,1510.804,1690.487,1892.172,2178.198,2548.565,2486.226,3061.945,3571.658,3457.981,3516.653,4059.369,4580.083,4481.074,5027.457,4737.764,4668.091,4792.769,4349.062,4290.39,4041.034,4125.375,3777.01,4030.033,4308.725,4994.454,10410,10870,11150,10200,9520,8580,8290,9120,8670,8220,8210,8050,8300.00019073486,9079.99992370605,9489.99977111816,10050.0001907349,11229.9995422363,12079.9999237061,13109.9996566772,14000,15170.0000762939,16610.0006103516,17420.0000762939,18739.9997711182,20409.9998474121,20760.0002288818,22010.0002288818,22750,23229.9995422363,22340.0001525879,20.64,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement",LMIC can contribute to preserving forests and reducing agriculture emissions associated with deforestation by increasing
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,46908.264,49203.806,53695.881,55617.389,56735.824,56398.46,64304.512,66193.017,77421.371,84315.331,93761.523,102635.663,114362.729,132463.041,143456.707,151164.741,155154.437,162961.48,176925.416,188322.452,187090.34,171806.284,172176.651,166632.147,168806.678,181248.809,198883.412,207530.198,209363.698,214024.455,197900,205480,207870,215260,222500,241280,262410,281330,290590,300960,313670,319380,317760.009765625,310809.997558594,328519.989013672,331690.002441406,335619.995117188,352559.997558594,373630.004882813,350000,397929.992675781,418309.997558594,454230.010986328,486839.996337891,511619.995117188,485339.996337891,447079.986572266,456489.990234375,433989.990234375,434299.987792969,451.8,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement","By supporting priority items in the country's Nationally Determined Contribution, such as clean energy, low carbon agriculture and reduced deforestation. These projects have a direct impact on Brazil's ability to achieve the reductions enshrined in the NDC"
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,172.349,194.351,260.357,190.684,179.683,205.352,267.691,337.364,440.04,480.377,429.039,484.044,502.379,480.377,491.378,568.385,531.715,590.387,630.724,601.388,674.728,685.729,645.392,685.729,748.068,847.077,916.75,942.419,946.086,990.09,980,980,1180,1000,1030,1070,1060,1160,1270,1300,1240,1310,1370.00000476837,1379.99999523163,1360.00001430511,1419.99995708466,1470.00002861023,1480.00001907349,1779.99997138977,4619.99988555908,1549.99995231628,1759.99999046326,2119.99988555908,1440.00005722046,1269.99998092651,1269.99998092651,1289.99996185303,1179.99994754791,1240.00000953674,1250,1.14,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials",Barbados to offset their carbon emissions by planting trees in various locations across Barbados
