Country Name_x,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Reasons for the Emission of carbon Footprints,Solutions to take to combat the climate change,Country Name_y,Region,IncomeGroup,SpecialNotes
Australia,AUS,88202.351,90589.568,94912.961,101029.517,108979.573,120966.996,120332.605,129265.417,134622.904,142257.598,147618.752,152774.554,157486.649,170992.21,172356.334,175883.988,174244.839,187787.07,202015.03,205069.641,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,263630.0,264760.0,268400.0,273050.0,280180.0,290180.0,300810.0,307850.0,328620.0,333710.0,339450.0,345640.0,353369.995117188,352579.986572266,365809.997558594,370089.996337891,375489.990234375,385750.0,388940.002441406,395290.008544922,387540.008544922,386380.004882813,386970.001220703,380279.998779297,371630.004882813,377799.987792969,384989.990234375,389160.003662109,387070.007324219,386529.998779297,15.22,"Energy production is the largest contributor to Australia's carbon emissions. This is followed by transport, agriculture, and industrial processes. Specifically: energy (burning fossil fuels to produce electricity)","These large-scale tree planting projects also produce additional benefits for the environment and local communities, including the restoration of wildlife habitat for threatened species, providing shade and shelter for farm animals and crops, and generating alternative income streams for farmers",Australia,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Austria,AUT,30821.135,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.396,50692.608,52155.741,56193.108,60164.469,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,58270.0,62420.0,57660.0,57800.0,58280.0,61180.0,64900.0,64220.0,64670.0,63050.0,63530.0,67910.0,69370.002746582,74459.9990844727,75800.0030517578,76239.9978637695,74099.9984741211,71239.9978637695,70730.0033569336,64419.9981689453,69959.9990844727,68269.9966430664,65110.0006103516,65750.0,62049.9992370605,63240.0016784668,63680.0003051758,65860.0006103516,63060.001373291,64769.9966430664,63.69,"produced by the burning of fossil fuels, industrial production, and land use change","Gradual reduction of fossil fuels
? Promotion of renewable energy sources
? Energy efficiency as savings potential in buildings
? Climate-neutral mobility
? Modal shift
? Reduced air traffic
? Traffic avoidance
",Austria,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53480.0,52060.0,63610.0,48050.0,33520.0,32470.0,27190.0,26490.0,26490.0,26120.0,27690.0,26400.0,26180.0003051758,28569.9996948242,28309.9994659424,30040.0009155273,30489.9997711182,27629.9991607666,30450.0007629395,25500.0,24309.9994659424,27280.0006866455,30110.0006103516,30940.0005340576,32240.0016784668,31770.0004577637,32240.0016784668,31959.9990844727,32729.9995422363,35509.9983215332,33.89,"burning of fossil fuels, industrial production, and land use change.","Diversify the domestic energy mix to gradually reduce oil and gas dependence.
Institute further structural energy reforms in a phased manner to develop competitive markets based on prices that reflect the full energy supply cost, and to ensure transparent and non-discriminatory grid access; support reforms by measures that guarantee the energy regulators independence and capacity, and aid the most vulnerable citizens.
Take steps to increase the efficiency of energy supply and use, and incorporate energy and climate considerations into long-term urban development and transport plans to limit energy demand growth",Azerbaijan,Europe & Central Asia,Upper middle income,
Burundi,BDI,,,44.004,47.671,47.671,36.67,47.671,47.671,55.005,73.34,62.339,73.34,73.34,73.34,91.675,77.007,88.008,99.009,102.676,110.01,146.68,157.681,157.681,205.352,220.02,231.021,234.688,249.356,227.354,267.691,170.0,220.0,180.0,190.0,190.0,200.0,210.0,210.0,220.0,230.0,260.0,200.0,209.999993443489,159.999996423721,150.000005960464,150.000005960464,180.000007152557,180.000007152557,180.000007152557,180.000007152557,300.000011920929,360.000014305115,370.000004768372,389.999985694885,379.999995231628,400.000005960464,439.999997615814,529.999971389771,689.999997615814,720.000028610229,0.29," produced by the burning of fossil fuels, industrial production, and land use change","reduce emissions from deforestation and forest degradation, including the Forest Carbon Partnership Facility.",Burundi,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Belgium,BEL,91000.272,92793.435,98117.919,105781.949,103662.423,105440.918,105206.23,107472.436,118557.777,123618.237,125620.419,121528.047,130834.893,138872.957,135220.625,122100.099,130009.818,126570.172,135855.016,140233.414,135301.299,124021.607,117553.019,101630.905,105422.583,104472.83,102874.018,103116.04,100354.789,107461.435,109310.0,113960.0,112330.0,110110.0,114900.0,114570.0,119450.0,116630.0,119410.0,115510.0,117270.0,118340.0,110849.998474121,115500.0,114019.996643066,110610.000610352,108650.001525879,104589.996337891,106930.000305176,99669.9981689453,106720.001220703,96480.0033569336,95269.9966430664,96589.9963378906,90139.9993896484,95129.997253418,94220.0012207031,92720.0012207031,93660.0036621094,93010.0021362305,7.24,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials","arge energy intensive corporates have a leading role in significantly reducing emissions, through energy efficiency programs and/or by procuring renewable energy.",Belgium,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Benin,BEN,161.348,128.345,135.679,121.011,143.013,150.347,113.677,143.013,154.014,201.685,282.359,293.36,388.702,381.368,407.037,443.707,260.357,297.027,363.033,366.7,517.047,429.039,491.378,454.708,502.379,744.401,685.729,539.049,553.717,630.724,330.0,270.0,280.0,290.0,280.0,300.0,970.0,1240.0,1210.0,1340.0,1420.0,1740.0,2180.0000667572,2440.00005722046,2650.00009536743,2900.00009536743,3470.00002861023,4000.0,4019.99998092651,4420.00007629395,4829.99992370605,4650.00009536743,4440.00005722046,4679.99982833862,5190.00005722046,5510.00022888184,6739.99977111816,6869.99988555908,7420.00007629395,7300.00019073486,7.35,electricity and heat production,The Solar Market Garden project has replaced diesel generators with solar pumps,Benin,Sub-Saharan Africa,Lower middle income,
Burkina Faso,BFA,44.004,91.675,84.341,88.008,110.01,102.676,102.676,102.676,102.676,121.011,143.013,150.347,161.348,168.682,205.352,220.02,209.019,249.356,348.365,407.037,432.706,557.384,575.719,594.054,465.709,476.71,480.377,517.047,553.717,821.408,500.0,510.0,520.0,530.0,540.0,570.0,630.0,690.0,760.0,890.0,940.0,970.0,959.999978542328,1039.99996185303,1059.99994277954,1059.99994277954,1240.00000953674,1409.9999666214,1700.00004768372,1730.00001907349,2289.99996185303,2460.00003814697,2940.00005722046,3130.00011444092,3180.0000667572,3700.00004768372,3700.00004768372,4269.99998092651,4670.00007629395,5000.0,3.25,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement",to reduce carbon di oxide (CO 2)using sustainable energy sources is a common practice to mitigate the impacts of climate,Burkina Faso,Sub-Saharan Africa,Low income,
Bangladesh,BGD,14154.62,14656.999,16105.464,18514.683,19035.397,19974.149,20326.181,21572.961,24737.582,23993.181,24337.879,23076.431,3509.319,4554.414,4660.757,4869.776,5570.173,5812.195,6017.547,6648.271,7638.361,7931.721,8599.115,8236.082,9123.496,10234.597,11463.042,11862.745,13545.898,13454.223,11520.0,10830.0,11820.0,12570.0,13540.0,16550.0,16830.0,18970.0,19250.0,20110.0,21650.0,25780.0,27430.0003051758,28629.9991607666,30530.0006866455,32709.9990844727,35900.0015258789,37990.0016784668,41580.0018310547,44750.0,50580.0018310547,54419.9981689453,57990.0016784668,60599.9984741211,63830.0018310547,72190.0024414063,74379.997253418,79339.9963378906,83449.9969482422,90739.9978637695,108.5," textile, leather, fertilizer, and brick production to also be major sources of carbon dioxide from industry and road transport","The minister said Bangladesh will increase renewable energy projects, use improved technology for power generation, use less emission-based transport systems, use solar energy in agriculture, reduce traditional brick kilns, reduce emission from rice fields, fertiliser use, deforestation reduction and will improve",Bangladesh,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Bulgaria,BGR,22295.36,25973.361,30736.794,34411.128,42863.563,46317.877,48767.433,55166.348,59526.411,66376.367,61238.9,64300.845,66171.015,68825.923,71260.811,73061.308,73116.313,75969.239,81411.067,79152.195,77487.377,80343.97,90131.193,90365.881,87366.275,89540.806,91528.32,91634.663,87289.268,86739.218,73610.0,58830.0,55360.0,55930.0,53720.0,54880.0,55300.0,52990.0,50480.0,44320.0,43420.0,46190.0,43599.9984741211,47930.0003051758,47270.0004577637,47990.0016784668,48950.0007629395,52599.9984741211,50040.0009155273,42909.9998474121,44740.0016784668,49639.9993896484,45020.0004577637,39659.9998474121,42049.9992370605,44560.001373291,41590.0001525879,43880.0010681152,40900.0015258789,39139.9993896484,38.01,"the burning of fossil fuels for energy production, and industrial production of materials such as cement","You can always offset them by purchasing TerGo packages, each of which is created by planting trees to absorb and store, support local farmers while funding the restoration of biodiversity in one of the most naturally beautiful countries in the world",Bulgaria,Europe & Central Asia,Upper middle income,
Bahrain,BHR,575.719,1771.161,1591.478,1195.442,1598.812,1228.445,649.059,1004.758,1103.767,1272.449,2592.569,3039.943,3681.668,5522.502,5405.158,5753.523,6574.931,7469.679,7766.706,8133.406,7887.717,8525.775,9838.561,8228.748,9207.837,10194.26,11012.001,11430.039,12163.439,11738.067,10740.0,10350.0,12270.0,13070.0,13370.0,13540.0,14150.0,14420.0,15490.0,15450.0,15880.0,16390.0,17219.9993133545,17940.0005340576,17930.0003051758,20690.0005340576,22489.9997711182,23000.0,24760.0002288818,24719.9993133545,25969.9993133545,26020.0004577637,27170.0000762939,28850.0003814697,30280.0006866455,30579.9999237061,30299.9992370605,30520.0004577637,30809.9994659424,33259.9983215332,36.67," CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials",will adopt a circular carbon economy strengthened by various offsetting schemes including carbon-capture technology and afforestation.,Bahrain,Middle East & North Africa,High income,
"Bahamas, The",BHS,410.704,546.383,726.066,707.731,1085.432,1316.453,1092.766,1705.155,1631.815,1745.492,2574.234,6732.612,6490.59,7873.049,7389.005,8254.417,6464.921,9717.55,6607.934,6930.63,7990.393,2801.588,2262.539,2016.85,1855.502,1510.804,1411.795,1422.796,1540.14,1947.177,1960.0,2040.0,2570.0,2090.0,2070.0,2200.0,2070.0,1870.0,2360.0,2320.0,2230.0,2220.0,2400.00009536743,2380.00011444092,2250.0,2109.99989509583,2099.99990463257,2119.99988555908,2200.00004768372,6170.00007629395,2079.99992370605,2569.9999332428,3549.99995231628,2809.99994277954,2519.99998092651,2210.00003814697,2039.99996185303,2170.00007629395,2799.99995231628,2839.99991416931,1.89,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement","In the Bahamas, there have been proposals to ban the use of plastic bags and styrofoam by the year 2020 which would decrease the demand for plastic bags and in turn reduce the amount of fuel utilized to make them.","Bahamas, The",Latin America & Caribbean,High income,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23970.0,21440.0,15970.0,13400.0,3160.0,3370.0,4190.0,8490.0,10760.0,10520.0,13960.0,13760.0,14560.0004196167,14869.9998855591,15569.9996948242,16229.9995422363,17909.9998474121,18889.9993896484,20760.0002288818,20590.0001525879,20840.0001525879,23739.9997711182,21959.9990844727,21850.0003814697,19489.9997711182,19620.0008392334,22340.0001525879,22680.0003051758,22600.0003814697,21069.9996948242,23.43," dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement","The only practical way to cut anthropogenic CO2 emissions from thermal power plants is to replace fossil fuels with renewable energy sources.
",Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99830.0,96220.0,87990.0,76420.0,64810.0,57640.0,58650.0,59170.0,57260.0,54950.0,52940.0,51880.0,51840.0001525879,52700.0007629395,56040.0009155273,56779.9987792969,59119.9989318848,57650.0015258789,60529.9987792969,57400.0015258789,61669.9981689453,58549.9992370605,59939.998626709,59990.0016784668,59500.0,54819.9996948242,55139.9993896484,56009.9983215332,58950.0007629395,57669.9981689453,58.97,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials","The decree confirms and updates the rules for carbon pricing through a voluntary GHG emissions reduction scheme under the UNFCCC and Kyoto Protocol, ...
",Belarus,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)"
Belize,BLZ,44.004,36.67,69.673,62.339,84.341,84.341,80.674,121.011,102.676,135.679,121.011,143.013,157.681,146.68,154.014,176.016,176.016,198.018,216.353,209.019,190.684,183.35,172.349,172.349,172.349,190.684,205.352,227.354,249.356,300.694,330.0,430.0,500.0,470.0,450.0,460.0,360.0,460.0,450.0,410.0,450.0,530.0,519.999980926514,509.999990463257,439.999997615814,469.999998807907,509.999990463257,529.999971389771,500.0,1460.00003814697,560.000002384186,670.000016689301,670.000016689301,460.00000834465,479.999989271164,680.000007152557,649.999976158142,639.999985694885,629.999995231628,639.999985694885,0.4, CO? emissionsfrom fossil fuels and cement production only,"Reduced deforestation, increased resilience of human communities, and sustainable forest management. Watershed protection for water and food security",Belize,Latin America & Caribbean,Upper middle income,
Bermuda,BMU,157.681,176.016,157.681,150.347,201.685,179.683,201.685,212.686,223.687,198.018,227.354,231.021,253.023,425.372,443.707,458.375,469.376,454.708,425.372,462.042,436.373,388.702,396.036,451.041,443.707,451.041,421.705,572.052,645.392,781.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement", (1) the electrification of vehicles beginning with Government vehicles and public transportation and (2) the banning of 2-stroke motorcycles.,Bermuda,North America,High income,
Bolivia,BOL,1004.758,1041.428,1100.1,1213.777,1481.468,1510.804,1690.487,1892.172,2178.198,2548.565,2486.226,3061.945,3571.658,3457.981,3516.653,4059.369,4580.083,4481.074,5027.457,4737.764,4668.091,4792.769,4349.062,4290.39,4041.034,4125.375,3777.01,4030.033,4308.725,4994.454,10410.0,10870.0,11150.0,10200.0,9520.0,8580.0,8290.0,9120.0,8670.0,8220.0,8210.0,8050.0,8300.00019073486,9079.99992370605,9489.99977111816,10050.0001907349,11229.9995422363,12079.9999237061,13109.9996566772,14000.0,15170.0000762939,16610.0006103516,17420.0000762939,18739.9997711182,20409.9998474121,20760.0002288818,22010.0002288818,22750.0,23229.9995422363,22340.0001525879,20.64,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement",LMIC can contribute to preserving forests and reducing agriculture emissions associated with deforestation by increasing,Bolivia,Latin America & Caribbean,Lower middle income,
Brazil,BRA,46908.264,49203.806,53695.881,55617.389,56735.824,56398.46,64304.512,66193.017,77421.371,84315.331,93761.523,102635.663,114362.729,132463.041,143456.707,151164.741,155154.437,162961.48,176925.416,188322.452,187090.34,171806.284,172176.651,166632.147,168806.678,181248.809,198883.412,207530.198,209363.698,214024.455,197900.0,205480.0,207870.0,215260.0,222500.0,241280.0,262410.0,281330.0,290590.0,300960.0,313670.0,319380.0,317760.009765625,310809.997558594,328519.989013672,331690.002441406,335619.995117188,352559.997558594,373630.004882813,350000.0,397929.992675781,418309.997558594,454230.010986328,486839.996337891,511619.995117188,485339.996337891,447079.986572266,456489.990234375,433989.990234375,434299.987792969,451.8,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials such as cement","By supporting priority items in the country's Nationally Determined Contribution, such as clean energy, low carbon agriculture and reduced deforestation. These projects have a direct impact on Brazil's ability to achieve the reductions enshrined in the NDC",Brazil,Latin America & Caribbean,Upper middle income,
Barbados,BRB,172.349,194.351,260.357,190.684,179.683,205.352,267.691,337.364,440.04,480.377,429.039,484.044,502.379,480.377,491.378,568.385,531.715,590.387,630.724,601.388,674.728,685.729,645.392,685.729,748.068,847.077,916.75,942.419,946.086,990.09,980.0,980.0,1180.0,1000.0,1030.0,1070.0,1060.0,1160.0,1270.0,1300.0,1240.0,1310.0,1370.00000476837,1379.99999523163,1360.00001430511,1419.99995708466,1470.00002861023,1480.00001907349,1779.99997138977,4619.99988555908,1549.99995231628,1759.99999046326,2119.99988555908,1440.00005722046,1269.99998092651,1269.99998092651,1289.99996185303,1179.99994754791,1240.00000953674,1250.0,1.14,"CO2 emissions are dominated by the burning of fossil fuels for energy production, and industrial production of materials",Barbados to offset their carbon emissions by planting trees in various locations across Barbados,Barbados,Latin America & Caribbean,High income,
